,,MIMAT0019932,MIMAT0005943,MIMAT0027618,,,,,https://www.ncbi.nlm.nih.gov/geo/browse/?view=samples&series=59856
HC31,Liver Cancer,2.612,2.612,2.612,,,,,
HC32,Liver Cancer,2.612,3.23,2.612,,,,,
HC33,Liver Cancer,2.612,2.612,2.612,,,,,
HC34,Liver Cancer,2.612,2.612,2.612,,,,,
HC35,Liver Cancer,2.612,3.745,2.612,,,,,
HC36,Liver Cancer,2.612,2.612,2.612,,,,,
HC37,Liver Cancer,2.612,2.612,2.612,,,,,
HC38,Liver Cancer,2.612,2.612,2.612,,,,,
HC39,Liver Cancer,2.612,2.612,2.612,,,,,
HC40,Liver Cancer,2.612,3.331,2.612,,,,,
HC41,Liver Cancer,2.612,2.612,2.612,,,,,
HC42,Liver Cancer,2.612,2.612,2.612,,,,,
HC43,Liver Cancer,3.454,2.612,2.612,,,,,
HC44,Liver Cancer,2.612,2.612,2.612,,,,,
HC45,Liver Cancer,2.612,2.612,2.612,,,,,
HC46,Liver Cancer,2.612,2.612,2.612,,,,,
HC47,Liver Cancer,2.612,2.612,2.612,,,,,
HC48,Liver Cancer,2.612,2.612,2.612,,,,,
HC49,Liver Cancer,2.612,2.612,2.612,,,,,
HC50,Liver Cancer,2.612,2.612,2.612,,,,,
B34,Liver Cancer,4.358,2.612,3.844,,,,,
B70,Liver Cancer,3.441,3.267,3.907,,,,,
